Date,symbol,name,open,high,low,close,volume,vix,rsi,ma5,ma20,earnings_dday
2025-05-16,AAPL,애플,211.71573318604425,211.92510277199543,209.1335944967917,210.6190643310547,54737900,17.239999771118164,51.79651551903411,211.1095703125,204.98102798461915,0
2025-05-19,AAPL,애플,207.27923550566183,208.84446444770495,203.64029993754312,208.14659118652344,46140500,18.139999389648438,47.3244549111245,210.70879211425782,205.77226791381835,0
2025-05-20,AAPL,애플,207.03996203611737,207.83753801206538,204.40797196423648,206.232421875,42496600,18.09000015258789,43.44111194364343,209.49847412109375,206.14022674560547,0
2025-05-21,AAPL,애플,204.5475404614086,206.41186226922272,200.10108001028593,201.4768829345703,59211800,20.8700008392334,37.78501795494891,207.4566864013672,206.0284637451172,0
2025-05-22,AAPL,애플,200.1010778345708,202.1348820380274,199.09413231135568,200.7490997314453,46742400,20.280000686645508,45.05111020009697,205.44481201171874,205.69263076782227,0
2025-05-23,AAPL,애플,193.0824298832746,197.10020219746903,192.8730755135501,194.67758178710938,78432900,22.290000915527344,45.48857746997619,202.2565155029297,205.00791854858397,0
2025-05-27,AAPL,애플,197.6983910952664,200.1309909415137,196.83102019804124,199.60260009765625,56288500,18.959999084472656,52.34481485740318,200.54771728515624,204.52664337158203,0
2025-05-28,AAPL,애플,199.98143310081724,202.11494001836002,199.2935240345892,199.81195068359375,45339700,19.309999465942383,55.56897724183448,199.263623046875,204.00256881713867,0
2025-05-29,AAPL,애플,202.9623758748587,203.19167383577107,197.90775006205254,199.3433837890625,51396800,19.18000030517578,53.487341140919,198.83692321777343,203.3908447265625,0
2025-05-30,AAPL,애플,198.7651407343476,201.3472946799051,196.18300200128658,200.24066162109375,70819900,18.56999969482422,53.321338205467406,198.73523559570313,202.78316192626954,0
2025-06-02,AAPL,애플,199.67238359256916,201.51677709467234,199.51286535414474,201.08807373046875,35423300,18.360000610351562,33.272026101671244,200.017333984375,202.6146209716797,0
2025-06-03,AAPL,애플,200.73914706631285,203.1518034040851,200.35033086337637,202.6533203125,46381600,17.690000534057617,31.842109957082087,200.62747802734376,202.84594116210937,0
2025-06-04,AAPL,애플,202.29440469878628,205.6143037964219,201.48686455307688,202.20468139648438,43604000,17.610000610351562,32.02269686743419,201.10602416992188,203.07374725341796,0
2025-06-05,AAPL,애플,202.88261988754903,204.12882762641604,199.54277706238673,200.02133178710938,55126100,18.479999542236328,30.511567695359574,201.24161376953126,203.30489501953124,0
2025-06-06,AAPL,애플,202.3841235560851,205.07592905349443,201.4370087789868,203.30133056640625,46607700,16.770000457763672,38.10756617432995,201.85374755859374,203.63831176757813,0
2025-06-09,AAPL,애플,203.76991971327615,205.37503589356555,199.4131823149893,200.83883666992188,72862600,17.15999984741211,38.11993060299685,201.80390014648438,203.79682998657228,0
2025-06-10,AAPL,애플,199.9914028593682,203.73002568042446,199.96149509379936,202.05511474609375,54672600,16.950000762939453,43.051364731013365,201.68425903320312,203.39206161499024,0
2025-06-11,AAPL,애플,202.88262262031438,203.8795888248368,197.8080682902945,198.17694091796875,60989900,17.260000228881836,44.34575585922079,200.8787109375,202.68670806884765,0
